# Breach corpus seed (HIBP-style catalog snapshot). Columns: name<TAB>records<TAB>added<TAB>breach_date
# Records kept as-given (k/M/B suffixes); parser normalizes to integers. Lines starting with # are ignored.
# Authoritative refresh: scripts/fetch-breach-corpus.mjs pulls the full ~1,018 list from HIBP /api/v3/breaches.
name	records	added	breach_date
ActMobile	1.6M	2021-11-09	2021-10
CyberServe	1.1M	2021-11-04	2021-10
CoinMarketCap	3.1M	2021-10-22	2021-10
Thingiverse	228.1k	2021-10-14	2020-10
Playbook	50.5k	2021-10-11	2020-10
Fantasy Football Hub	66.5k	2021-10-07	2021-10
Republican Party of Texas	72.6k	2021-10-06	2021-09
LinkedIn Scraped Data (2021)	125.7M	2021-10-02	2021-04
Ajarn	266.4k	2021-09-26	2018-12
Epik	15M	2021-09-19	2021-09
IndiaMART	20.2M	2021-08-27	2021-05
Imavex	878.2k	2021-08-26	2021-08
SubaGames	6.1M	2021-08-25	2016-11
Eatigo	2.8M	2021-08-25	2018-10
OrderSnapp	1.3M	2021-08-08	2020-06
MMG Fusion	2.7M	2021-08-07	2020-12
Audi	2.7M	2021-07-23	2019-08
Guntrader	112k	2021-07-21	2021-07
Short Édition	505.5k	2021-07-19	2021-06
Vastaamo	30.4k	2021-07-17	2019-03
Raychat	939k	2021-07-04	2021-01
Teespring	8.2M	2021-06-25	2020-04
yotepresto.com	1.4M	2021-06-25	2020-06
University of California	547.4k	2021-06-20	2020-12
Fotolog	16.7M	2021-06-15	2018-12
Nameless Malware	1.1M	2021-06-09	2020-01
Domino's India	22.5M	2021-06-03	2021-03
JD	77.4M	2021-06-02	2013-01
MobiFriends	3.5M	2021-05-23	2020-01
Moneycontrol	762.9k	2021-05-22	2017-09
Yam	13.3M	2021-05-22	2013-06
Livpure	269.6k	2021-05-22	2020-08
Daily Quiz	8M	2021-05-21	2021-01
IIMJobs	4.2M	2021-05-21	2018-12
WedMeGood	1.3M	2021-05-13	2021-01
DriveSure	3.7M	2021-05-10	2020-12
ParkMobile	20.9M	2021-04-30	2021-03
Descomplica	4.8M	2021-04-28	2021-03
Jefit	9.1M	2021-04-27	2020-08
Emotet	4.3M	2021-04-26	2021-01
bigbasket	24.5M	2021-04-26	2020-10
MangaDex	3M	2021-04-25	2021-03
ShopBack	20.5M	2021-04-25	2020-09
ClearVoice Surveys	15.1M	2021-04-23	2015-08
Phone House España	5.2M	2021-04-22	2021-04
Facebook	509.5M	2021-04-04	2019-08
Unverified Data Source	11.5M	2021-03-24	2021-01
Carding Mafia (March 2021)	297.7k	2021-03-23	2021-03
WeLeakInfo	11.8k	2021-03-15	2021-03
Liker	465.1k	2021-03-13	2021-03
Travel Oklahoma	637.3k	2021-03-10	2020-12
Gab	66.5k	2021-03-03	2021-02
Oxfam	1.8M	2021-03-02	2021-01
Ticketcounter	1.9M	2021-03-01	2021-02
SuperVPN & GeckoVPN	20.3M	2021-02-28	2021-02
Filmai.in	645.8k	2021-02-23	2020-01
NurseryCam	10.6k	2021-02-23	2021-02
People's Energy	358.8k	2021-02-23	2020-12
